Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Description~String~Description~292|Field=Designator~String~Designator~158|Field=Footprint~String~Footprint~113|Field=Quantity~Integer~Quantity~70|Field=Indications~String~Indications~92|Field=Value~String~Value~92|Field=Manufacturer 1~String~Manufacturer 1~203|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~177|ReportField=Currency~USD|ReportField=ProductionQuantity~1000|ReportField=ProjectFileName~LPCXpresso55SXX.PrjPcb|ReportField=ProjectFullPath~C:\NXP\LPC5500\LPCXpresso55SXX\trunk\LPCXpresso55SXX.PrjPcb|ReportField=Title~BOM For Variant [LPC55S69] of BOM Document [LPCXpresso55SXX.BomDoc]|ReportField=TotalQuantity~298|ReportField=ReportTime~2:56:49 PM|ReportField=ReportDate~5/29/2019|ReportField=ReportDateTime~5/29/2019 2:56:49 PM|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~LPC55S69|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~José Ogando|ReportField=CompanyName~|ReportField=CurrentDate~5/29/2019|ReportField=CurrentTime~12:47:05 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\NXP\LPC5500\LPCXpresso55SXX\trunk\BRIDGE-ACCELEROMETER.SchDoc|ReportField=DocumentName~BRIDGE-ACCELEROMETER.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~Eduardo Teofilo|ReportField=ImagePath~|ReportField=ModifiedDate~5/29/2019|ReportField=Organization~|ReportField=ProjectName~LPCXpresso55SXX.PrjPcb|ReportField=Revision~A2|ReportField=Rule~|ReportField=SheetNumber~4|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LPCXpresso55SXX.BomDoc|ReportField=DataSourceFullPath~C:\NXP\LPC5500\LPCXpresso55SXX\trunk\LPCXpresso55SXX.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|Fitted|CAP 16pF 25V ±0.5pF 0402 (1005 Metric) Thickness 0.6mm SMD|C78, C79|CAPC0402(1005)60_L|2||16pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamsung%26mpn%3DCL05C160JB5NNNC%26seller%3DDigi-Key%26sku%3D1276-1646-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Samsung{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamsung%26mpn%3DCL05C160JB5NNNC%26seller%3DDigi-Key%26sku%3D1276-1646-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CL05C160JB5NNNC{URL.TIP}Manufacturer
12|Fitted|CAP 22uF 16V ±20% 0805 (2012 Metric) Thickness 1.45mm SMD|C92, C93, C100|CAPC0805(2012)145_L|3||22uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1C226M%26seller%3DArrow%26sku%3DC2012X5R1C226M%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC2012X5R1C226M%26seller%3DArrow%26sku%3DC2012X5R1C226M%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C2012X5R1C226M{URL.TIP}Manufacturer
13|Fitted|CAP 100nF 25V ±20% 0603 (1608 Metric) Thickness 1mm SMD|C94, C98|CAPC0603(1608)100_L|2||100nF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104M3RACTU%26seller%3DDigi-Key%26sku%3D399-1283-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0603C104M3RACTU%26seller%3DDigi-Key%26sku%3D399-1283-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0603C104M3RACTU{URL.TIP}Manufacturer
14|Fitted|CAP 47pF 16V ±5pF 0603 (1608 Metric) Thickness 1mm SMD|C95, C97|CAPC0603(1608)100_L|2||47pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012006021%26seller%3DDigi-Key%26sku%3D732-7764-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D885012006021%26seller%3DDigi-Key%26sku%3D732-7764-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}885012006021{URL.TIP}Manufacturer
15|Fitted|TVS DIODE 5V 14V SOT23|D1, D2|SOT23-3|2|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPESD5V0S2BT%252C215%26seller%3DDigi-Key%26sku%3D954-PESD5V0S2BT215-CHP%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPESD5V0S2BT%252C215%26seller%3DDigi-Key%26sku%3D954-PESD5V0S2BT215-CHP%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PESD5V0S2BT,215{URL.TIP}Manufacturer
16|Fitted|DIODE ARRAY SCHOTTKY 40V 3HUSON|D3, D4|SOT1061|2|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPMEG4010CPA%252C115%26seller%3DDigi-Key%26sku%3D1727-5212-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPMEG4010CPA%252C115%26seller%3DDigi-Key%26sku%3D1727-5212-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PMEG4010CPA,115{URL.TIP}Manufacturer
17|Fitted|Ultra Low Capacitance Double Rail-to-Rail ESD Protection Diode, 5.5 V, 1 pF, -40 to 85 degC, 4-Pin SOT143B, RoHS, Tape and Reel|D5, D9, D10|NXP-SOT143B-4_V|3|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPRTR5V0U2X%252C215%26seller%3DDigi-Key%26sku%3D1727-3884-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPRTR5V0U2X%252C215%26seller%3DDigi-Key%26sku%3D1727-3884-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PRTR5V0U2X,215{URL.TIP}Manufacturer
18|Fitted|DIODE SCHOTTKY 10V 2A SOD323F|D6|SOD-323F, SC90|1|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPMEG1020EJ%252C115%26seller%3DDigi-Key%26sku%3D1727-3850-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPMEG1020EJ%252C115%26seller%3DDigi-Key%26sku%3D1727-3850-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PMEG1020EJ,115{URL.TIP}Manufacturer
19|Fitted|TVS DIODE 3.3V 12V SOT666|D7|SOT-666|1|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPESD3V3L5UV%252C115%26seller%3DDigi-Key%26sku%3D1727-5314-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DPESD3V3L5UV%252C115%26seller%3DDigi-Key%26sku%3D1727-5314-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PESD3V3L5UV,115{URL.TIP}Manufacturer
20|Fitted|LED RGB SMD DIFF 4-PLCC|D8|CLVBA-FKA-CAEDH8BBB7A363CT-ND|1|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCree%26mpn%3DCLVBA-FKA-CAEDH8BBB7A363%26seller%3DDigi-Key%26sku%3DCLVBA-FKA-CAEDH8BBB7A363CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Cree{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCree%26mpn%3DCLVBA-FKA-CAEDH8BBB7A363%26seller%3DDigi-Key%26sku%3DCLVBA-FKA-CAEDH8BBB7A363CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CLVBA-FKA-CAEDH8BBB7A363{URL.TIP}Manufacturer
21|Fitted|LED Uni-Color Red, 62.5 mW, 5 V, -30 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel|DS1, DS2|LTST-C191KRKT_V|2|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C190KRKT%26seller%3DDigi-Key%26sku%3D160-1436-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Lite-On{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Lite-On%26mpn%3DLTST-C190KRKT%26seller%3DDigi-Key%26sku%3D160-1436-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LTST-C190KRKT{URL.TIP}Manufacturer
22|Fitted|CONN AUDIO JACK 3.5MM STEREO SMD|J1, J2|SJ-3524-SMT-TR|2|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCUI%26mpn%3DSJ-3524-SMT-TR%26seller%3DDigi-Key%26sku%3DCP-3524SJCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}CUI{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DCUI%26mpn%3DSJ-3524-SMT-TR%26seller%3DDigi-Key%26sku%3DCP-3524SJCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SJ-3524-SMT-TR{URL.TIP}Manufacturer
23|Fitted|HEADER 3POS SNGL T/H 2.54MM|J3, J6, P4, P8|61300311121|4|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300311121%26seller%3DDigi-Key%26sku%3D732-5316-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300311121%26seller%3DDigi-Key%26sku%3D732-5316-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300311121{URL.TIP}Manufacturer
24|Fitted|HEADER 2POS SNGL T/H 2.54MM|J4, J7, J10, P1|61300211121|4|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300211121%26seller%3DDigi-Key%26sku%3D732-5315-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300211121{URL.TIP}Manufacturer
25|Fitted||J8, J9|0402_R - JMP|2|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW04020000Z0ED%26seller%3DDigi-Key%26sku%3D541-0.0JCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%26mpn%3DCRCW04020000Z0ED%26seller%3DDigi-Key%26sku%3D541-0.0JCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CRCW04020000Z0ED{URL.TIP}Manufacturer
26|Fitted|CONN JUMPER SHORTING .100" GOLD|JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11||11|||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSullins%26mpn%3DQPC02SXGN-RC%26seller%3DDigi-Key%26sku%3DS9337-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Sullins{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSullins%26mpn%3DQPC02SXGN-RC%26seller%3DDigi-Key%26sku%3DS9337-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}QPC02SXGN-RC{URL.TIP}Manufacturer
